Vendedor;Comprador;Data da Venda;Nome do Produto;Mês;Valor Unitário;Valor Total;Quantidade;Loja;Município da Loja;Categoria do Produto
Rafaela Cunha;Dra. Isadora da Luz;22/06/2024;Shampoo Pet;June;28,77;86,31;3;Mercado do Bairro;Tangará da Serra;Pet
Isabel Melo;Pietra da Rocha;14/04/2025;Refrigerante;April;47,78;382,24;8;Atacadão Popular;Sinop;Bebidas
Ana Clara Barros;Sra. Catarina Almeida;08/01/2025;Desodorante;January;26,74;53,48;2;Mercado do Bairro;Sinop;Higiene
Vitória Martins;Maria Cecília Cunha;17/04/2025;Sabão em Pó;April;21,62;129,72;6;Super Econômico;Tangará da Serra;Limpeza
Ana Laura Pereira;Luiz Felipe Oliveira;31/08/2024;Óleo;August;34,22;34,22;1;Supermercado Central;Tangará da Serra;Alimentos
Ana Laura Pereira;Joana Campos;06/04/2025;Esponja;April;30,63;245,04;8;Mercado do Bairro;Cuiabá;Limpeza
Elisa Alves;Luiz Otávio Peixoto;28/07/2024;Ração para Cães;July;40,36;80,72;2;Atacadão Popular;Várzea Grande;Pet
Milena Pires;Joana Novaes;11/02/2025;Macarrão;February;44,56;44,56;1;Super Econômico;Várzea Grande;Alimentos
Luna das Neves;Leonardo Moreira;04/04/2025;Vinho;April;4,51;22,55;5;Supermercado Central;Tangará da Serra;Bebidas
Vitória Martins;Sra. Agatha Jesus;28/04/2024;Água Mineral;April;23,98;191,84;8;Atacadão Popular;Rondonópolis;Bebidas
Bárbara Ribeiro;Eduardo Peixoto;13/01/2025;Açúcar;January;31,46;283,14;9;Supermercado Central;Rondonópolis;Alimentos
Juliana Nunes;Srta. Emanuella Almeida;26/02/2025;Detergente;February;23,27;69,81;3;Super Econômico;Cuiabá;Limpeza
Milena Pires;Luiz Gustavo Nascimento;02/06/2024;Ração para Cães;June;16,28;113,96;7;Atacadão Popular;Sinop;Pet
Ana Laura Pereira;Nicolas Cunha;14/11/2024;Óleo;November;45,4;363,2;8;Mercado do Bairro;Sinop;Alimentos
Elisa Alves;Henrique Peixoto;14/06/2024;Desodorante;June;49,14;245,7;5;Mercado do Bairro;Tangará da Serra;Higiene
Giovanna Alves;Isis Farias;03/04/2025;Cerveja;April;7,22;14,44;2;Supermercado Central;Várzea Grande;Bebidas
Samuel Nascimento;Agatha da Rosa;14/08/2024;Ração para Cães;August;12,7;50,8;4;Atacadão Popular;Sinop;Pet
João Lucas Correia;Bianca Duarte;29/11/2024;Macarrão;November;36,12;180,6;5;Atacadão Popular;Cuiabá;Alimentos
Milena Pires;Paulo Monteiro;09/05/2024;Creme Dental;May;12,16;72,96;6;Mercado do Bairro;Cuiabá;Higiene
Samuel Nascimento;Evelyn Azevedo;26/10/2024;Desinfetante;October;40,34;282,38;7;Super Econômico;Cuiabá;Limpeza
Davi Luiz Silveira;André Freitas;26/09/2024;Água Mineral;September;20,27;182,43;9;Mercado do Bairro;Sinop;Bebidas
Vitória Martins;Otávio Nunes;05/04/2025;Cerveja;April;39,3;117,9;3;Mercado do Bairro;Cuiabá;Bebidas
João Lucas Correia;Sra. Catarina Almeida;21/11/2024;Petisco;November;6,6;52,8;8;Mercado do Bairro;Tangará da Serra;Pet
Bárbara Ribeiro;Sr. Gustavo Mendes;22/01/2025;Petisco;January;23,18;69,54;3;Supermercado Central;Rondonópolis;Pet
Luna das Neves;Camila Farias;16/11/2024;Macarrão;November;49,17;147,51;3;Mercado do Bairro;Rondonópolis;Alimentos
Samuel Nascimento;Dr. Lorenzo Teixeira;24/12/2024;Papel Higiênico;December;36,29;145,16;4;Supermercado Central;Rondonópolis;Higiene
João Lucas Correia;Fernanda Aragão;26/10/2024;Feijão;October;22,92;183,36;8;Super Econômico;Rondonópolis;Alimentos
Vitória Martins;Marina da Conceição;12/08/2024;Petisco;August;28,47;170,82;6;Super Econômico;Várzea Grande;Pet
Bárbara Ribeiro;Maria Cecília Cunha;31/08/2024;Vinho;August;49,89;299,34;6;Supermercado Central;Rondonópolis;Bebidas
Dra. Lívia Gonçalves;Bianca Duarte;24/09/2024;Shampoo Pet;September;42,71;298,97;7;Mercado do Bairro;Tangará da Serra;Pet
Vitória Martins;Raul Correia;11/11/2024;Petisco;November;41,74;83,48;2;Super Econômico;Tangará da Serra;Pet
Milena Pires;Sr. Matheus da Mata;31/10/2024;Macarrão;October;32,95;131,8;4;Atacadão Popular;Cuiabá;Alimentos
Samuel Nascimento;Pedro Teixeira;23/01/2025;Ração para Cães;January;17,75;124,25;7;Mercado do Bairro;Tangará da Serra;Pet
Ana Clara Barros;Eduardo Peixoto;08/06/2024;Água Sanitária;June;23,32;209,88;9;Super Econômico;Sinop;Limpeza
João Lucas Correia;Ana Clara da Cunha;31/08/2024;Detergente;August;7,1;56,8;8;Supermercado Central;Rondonópolis;Limpeza
Isabel Melo;Bianca Duarte;04/01/2025;Açúcar;January;30,28;60,56;2;Atacadão Popular;Tangará da Serra;Alimentos
Dra. Lívia Gonçalves;Sra. Agatha Jesus;30/04/2024;Desinfetante;April;18,45;166,05;9;Supermercado Central;Cuiabá;Limpeza
Ana Clara Barros;Sr. Davi Lucas Castro;12/12/2024;Shampoo;December;25,16;125,8;5;Super Econômico;Várzea Grande;Higiene
João Vitor Moura;Julia Viana;05/06/2024;Sabonete;June;19,49;194,9;10;Atacadão Popular;Várzea Grande;Higiene
Dr. Vitor Gabriel Almeida;Alana Novaes;21/10/2024;Sabão em Pó;October;47,29;189,16;4;Super Econômico;Cuiabá;Limpeza
Sr. Pietro Moraes;Nina Costa;21/12/2024;Desodorante;December;29,44;206,08;7;Supermercado Central;Rondonópolis;Higiene
João Vitor Moura;Gustavo Henrique Lima;23/08/2024;Refrigerante;August;8,62;34,48;4;Super Econômico;Tangará da Serra;Bebidas
Ryan Azevedo;Igor Gonçalves;20/12/2024;Desodorante;December;5,01;45,09;9;Super Econômico;Tangará da Serra;Higiene
Davi Luiz Silveira;Calebe Mendes;23/07/2024;Creme Dental;July;38,79;232,74;6;Mercado do Bairro;Tangará da Serra;Higiene
Dra. Clara da Paz;Isis Farias;19/08/2024;Desodorante;August;49,82;49,82;1;Super Econômico;Sinop;Higiene
João Vitor Moura;Sophie Nascimento;31/07/2024;Detergente;July;31,31;187,86;6;Super Econômico;Várzea Grande;Limpeza
Ana Laura Pereira;Srta. Mariane Moraes;29/05/2024;Desodorante;May;38,78;155,12;4;Atacadão Popular;Rondonópolis;Higiene
Rafaela Cunha;Nina Almeida;07/12/2024;Creme Dental;December;5,0;50,0;10;Atacadão Popular;Rondonópolis;Higiene
Juliana Nunes;Sra. Esther Silveira;04/10/2024;Creme Dental;October;41,9;41,9;1;Super Econômico;Várzea Grande;Higiene
Bárbara Ribeiro;Sophie Nascimento;26/06/2024;Sabão em Pó;June;29,08;232,64;8;Supermercado Central;Tangará da Serra;Limpeza
Vitória Martins;Paulo Cardoso;17/05/2024;Feijão;May;19,47;19,47;1;Mercado do Bairro;Sinop;Alimentos
Samuel Nascimento;Gabrielly Farias;08/10/2024;Creme Dental;October;25,98;181,86;7;Atacadão Popular;Rondonópolis;Higiene
Juliana Nunes;Luna Almeida;13/08/2024;Cerveja;August;36,51;328,59;9;Atacadão Popular;Cuiabá;Bebidas
Samuel Nascimento;Sra. Esther Silveira;10/06/2024;Sabão em Pó;June;25,33;227,97;9;Atacadão Popular;Várzea Grande;Limpeza
Dra. Clara da Paz;Dr. Davi Duarte;02/05/2024;Areia Higiênica;May;13,92;55,68;4;Super Econômico;Rondonópolis;Pet
Samuel Nascimento;Joana Novaes;14/03/2025;Shampoo Pet;March;22,19;133,14;6;Supermercado Central;Tangará da Serra;Pet
Juliana Nunes;Vitor Hugo Barbosa;08/06/2024;Ração para Cães;June;2,59;18,13;7;Super Econômico;Sinop;Pet
Bárbara Ribeiro;Stephany Costela;03/10/2024;Ração para Cães;October;23,44;234,4;10;Super Econômico;Rondonópolis;Pet
Davi Luiz Silveira;Stephany Costela;01/08/2024;Ração para Cães;August;33,06;66,12;2;Mercado do Bairro;Rondonópolis;Pet
Bárbara Ribeiro;Srta. Emanuella Almeida;05/12/2024;Água Sanitária;December;36,37;181,85;5;Supermercado Central;Tangará da Serra;Limpeza
Samuel Nascimento;Henrique Azevedo;23/02/2025;Desodorante;February;14,42;86,52;6;Mercado do Bairro;Tangará da Serra;Higiene
Dr. Vitor Gabriel Almeida;Stephany Araújo;05/07/2024;Esponja;July;9,56;66,92;7;Mercado do Bairro;Tangará da Serra;Limpeza
João Lucas Correia;Marcos Vinicius Pereira;13/05/2024;Cerveja;May;39,8;159,2;4;Supermercado Central;Rondonópolis;Bebidas
Juliana Nunes;Sr. Gustavo Mendes;10/08/2024;Refrigerante;August;23,35;70,05;3;Mercado do Bairro;Tangará da Serra;Bebidas
Juliana Nunes;Arthur Viana;15/07/2024;Refrigerante;July;5,36;16,08;3;Supermercado Central;Tangará da Serra;Bebidas
Samuel Nascimento;Leonardo Duarte;20/12/2024;Ração para Gatos;December;21,86;174,88;8;Supermercado Central;Cuiabá;Pet
Giovanna Alves;Sra. Mariana Nunes;18/07/2024;Esponja;July;3,65;3,65;1;Atacadão Popular;Rondonópolis;Limpeza
Milena Pires;Rafaela Ramos;26/04/2024;Desinfetante;April;41,05;82,1;2;Supermercado Central;Rondonópolis;Limpeza
Vitória Martins;Dr. Lorenzo Teixeira;17/05/2024;Ração para Cães;May;4,53;18,12;4;Super Econômico;Cuiabá;Pet
Dr. Vitor Gabriel Almeida;Henrique Peixoto;30/10/2024;Detergente;October;27,59;165,54;6;Supermercado Central;Cuiabá;Limpeza
João Vitor Moura;Clarice da Conceição;11/08/2024;Óleo;August;25,48;50,96;2;Super Econômico;Sinop;Alimentos
Vitória Martins;Pietra da Rocha;24/04/2024;Petisco;April;5,57;22,28;4;Atacadão Popular;Rondonópolis;Pet
Isabel Melo;Clarice da Conceição;21/10/2024;Ração para Cães;October;12,15;85,05;7;Supermercado Central;Rondonópolis;Pet
João Vitor Moura;Gabrielly Farias;05/03/2025;Água Mineral;March;32,61;195,66;6;Supermercado Central;Cuiabá;Bebidas
Bárbara Ribeiro;Marina da Conceição;05/11/2024;Cerveja;November;42,25;42,25;1;Mercado do Bairro;Cuiabá;Bebidas
Giovanna Alves;Leonardo Moreira;06/08/2024;Desinfetante;August;17,75;177,5;10;Atacadão Popular;Cuiabá;Limpeza
Dra. Clara da Paz;Isabelly Porto;27/08/2024;Açúcar;August;18,34;36,68;2;Mercado do Bairro;Sinop;Alimentos
Milena Pires;Henrique Azevedo;13/09/2024;Areia Higiênica;September;35,87;322,83;9;Mercado do Bairro;Rondonópolis;Pet
Sr. Pietro Moraes;João Rocha;11/07/2024;Petisco;July;32,34;226,38;7;Super Econômico;Sinop;Pet
Davi Luiz Silveira;Joana Novaes;01/06/2024;Esponja;June;46,16;276,96;6;Supermercado Central;Tangará da Serra;Limpeza
João Vitor Moura;Enzo Farias;14/10/2024;Detergente;October;39,37;236,22;6;Mercado do Bairro;Várzea Grande;Limpeza
Rafaela Cunha;Enzo Gabriel Fogaça;26/05/2024;Desinfetante;May;11,38;102,42;9;Super Econômico;Rondonópolis;Limpeza
Davi Luiz Silveira;Arthur Viana;19/05/2024;Creme Dental;May;10,65;63,9;6;Super Econômico;Tangará da Serra;Higiene
Giovanna Alves;Nicolas Cunha;10/12/2024;Suco;December;2,83;5,66;2;Mercado do Bairro;Tangará da Serra;Bebidas
Giovanna Alves;Luiz Gustavo Nascimento;06/10/2024;Shampoo;October;42,42;254,52;6;Atacadão Popular;Sinop;Higiene
Luna das Neves;Sr. Thomas Porto;25/08/2024;Açúcar;August;19,34;19,34;1;Atacadão Popular;Cuiabá;Alimentos
Giovanna Alves;Lara Gonçalves;25/03/2025;Desinfetante;March;9,33;83,97;9;Supermercado Central;Cuiabá;Limpeza
Dra. Clara da Paz;Emilly Moura;09/09/2024;Sabonete;September;37,5;187,5;5;Mercado do Bairro;Tangará da Serra;Higiene
Ana Clara Barros;Henrique Azevedo;02/11/2024;Detergente;November;49,49;247,45;5;Mercado do Bairro;Tangará da Serra;Limpeza
Giovanna Alves;Evelyn Azevedo;13/04/2025;Feijão;April;24,7;74,1;3;Atacadão Popular;Rondonópolis;Alimentos
Ana Clara Barros;Eloah Gonçalves;01/08/2024;Sabonete;August;46,4;185,6;4;Super Econômico;Rondonópolis;Higiene
Juliana Nunes;Clarice da Conceição;20/03/2025;Shampoo;March;45,89;45,89;1;Super Econômico;Várzea Grande;Higiene
Luna das Neves;Beatriz da Rosa;22/07/2024;Suco;July;11,17;22,34;2;Super Econômico;Tangará da Serra;Bebidas
Davi Luiz Silveira;Sophie Nascimento;30/01/2025;Óleo;January;5,1;51,0;10;Supermercado Central;Várzea Grande;Alimentos
Giovanna Alves;Luiz Gustavo Nascimento;28/04/2024;Ração para Cães;April;39,73;79,46;2;Atacadão Popular;Cuiabá;Pet
Juliana Nunes;Gustavo Henrique Lima;16/10/2024;Sabonete;October;7,58;45,48;6;Atacadão Popular;Várzea Grande;Higiene
Giovanna Alves;Ana Clara da Cunha;24/06/2024;Vinho;June;15,81;15,81;1;Mercado do Bairro;Sinop;Bebidas
Ana Laura Pereira;Eduardo Mendes;12/10/2024;Shampoo Pet;October;17,2;51,6;3;Super Econômico;Várzea Grande;Pet
Sr. Pietro Moraes;Luiz Otávio Peixoto;06/12/2024;Esponja;December;19,87;139,09;7;Atacadão Popular;Várzea Grande;Limpeza
Bárbara Ribeiro;Henrique Azevedo;04/05/2024;Esponja;May;4,0;32,0;8;Atacadão Popular;Sinop;Limpeza
Dr. Vitor Gabriel Almeida;João Rocha;22/06/2024;Desinfetante;June;4,74;42,66;9;Super Econômico;Rondonópolis;Limpeza
Sr. Pietro Moraes;Pietra da Rocha;19/04/2025;Sabão em Pó;April;20,66;185,94;9;Atacadão Popular;Cuiabá;Limpeza
João Vitor Moura;Dra. Isadora da Luz;27/03/2025;Suco;March;29,01;87,03;3;Mercado do Bairro;Várzea Grande;Bebidas
Vitória Martins;Enzo Farias;31/01/2025;Óleo;January;15,92;127,36;8;Atacadão Popular;Tangará da Serra;Alimentos
Davi Luiz Silveira;Ana Lívia Farias;19/05/2024;Shampoo Pet;May;33,52;268,16;8;Atacadão Popular;Cuiabá;Pet
Dr. Vitor Gabriel Almeida;Leonardo Moreira;10/09/2024;Desodorante;September;34,84;313,56;9;Super Econômico;Tangará da Serra;Higiene
Dra. Clara da Paz;Sr. Thomas Porto;18/03/2025;Vinho;March;41,45;331,6;8;Supermercado Central;Várzea Grande;Bebidas
Ana Laura Pereira;Raul Correia;22/03/2025;Refrigerante;March;28,6;171,6;6;Super Econômico;Várzea Grande;Bebidas
Isabel Melo;Camila Farias;21/06/2024;Sabão em Pó;June;10,33;20,66;2;Mercado do Bairro;Tangará da Serra;Limpeza
Dr. Vitor Gabriel Almeida;Ana Carolina Nascimento;21/08/2024;Ração para Gatos;August;45,74;182,96;4;Super Econômico;Sinop;Pet
Ana Clara Barros;Alana Novaes;19/05/2024;Shampoo;May;18,76;168,84;9;Atacadão Popular;Cuiabá;Higiene
Dr. Vitor Gabriel Almeida;Fernanda Aragão;20/07/2024;Creme Dental;July;47,61;190,44;4;Mercado do Bairro;Várzea Grande;Higiene
João Lucas Correia;Dra. Melissa Almeida;23/12/2024;Esponja;December;6,49;64,9;10;Supermercado Central;Sinop;Limpeza
Ryan Azevedo;Lívia Pinto;02/11/2024;Shampoo Pet;November;7,28;21,84;3;Mercado do Bairro;Sinop;Pet
João Lucas Correia;Luiz Felipe Oliveira;08/05/2024;Esponja;May;14,08;112,64;8;Super Econômico;Tangará da Serra;Limpeza
Dr. Vitor Gabriel Almeida;Eduardo Mendes;18/04/2025;Esponja;April;18,0;54,0;3;Atacadão Popular;Várzea Grande;Limpeza
Isabel Melo;Lívia Pinto;17/05/2024;Areia Higiênica;May;17,08;153,72;9;Atacadão Popular;Tangará da Serra;Pet
Ryan Azevedo;Felipe Cardoso;22/05/2024;Desinfetante;May;39,49;197,45;5;Mercado do Bairro;Rondonópolis;Limpeza
Milena Pires;Paulo Cardoso;13/07/2024;Desinfetante;July;8,81;8,81;1;Atacadão Popular;Várzea Grande;Limpeza
Ana Clara Barros;Joana Novaes;20/09/2024;Shampoo;September;22,88;183,04;8;Atacadão Popular;Várzea Grande;Higiene
Davi Luiz Silveira;Eloah Gonçalves;27/10/2024;Ração para Cães;October;23,53;94,12;4;Supermercado Central;Várzea Grande;Pet
Rafaela Cunha;Ana Lívia Farias;08/06/2024;Água Mineral;June;42,0;252,0;6;Super Econômico;Rondonópolis;Bebidas
Milena Pires;Emilly Moura;01/05/2024;Esponja;May;18,9;56,7;3;Mercado do Bairro;Sinop;Limpeza
Isabel Melo;Eduardo Mendes;08/07/2024;Papel Higiênico;July;9,47;85,23;9;Atacadão Popular;Sinop;Higiene
Juliana Nunes;Davi Luiz Gonçalves;21/10/2024;Água Mineral;October;25,17;125,85;5;Mercado do Bairro;Rondonópolis;Bebidas
Juliana Nunes;Marina da Conceição;27/06/2024;Água Sanitária;June;23,77;142,62;6;Supermercado Central;Rondonópolis;Limpeza
Sr. Pietro Moraes;Rafaela Ramos;25/05/2024;Arroz;May;14,67;132,03;9;Supermercado Central;Rondonópolis;Alimentos
Sr. Pietro Moraes;Sra. Mariana Nunes;04/03/2025;Arroz;March;17,08;170,8;10;Mercado do Bairro;Várzea Grande;Alimentos
Elisa Alves;Srta. Mariane Moraes;26/02/2025;Macarrão;February;37,1;222,6;6;Super Econômico;Cuiabá;Alimentos
Dr. Vitor Gabriel Almeida;Clarice da Conceição;30/05/2024;Sabonete;May;37,45;299,6;8;Super Econômico;Sinop;Higiene
Dr. Vitor Gabriel Almeida;Felipe Cardoso;27/03/2025;Desinfetante;March;43,58;43,58;1;Supermercado Central;Sinop;Limpeza
Dra. Lívia Gonçalves;João Vitor Rezende;11/11/2024;Detergente;November;13,47;53,88;4;Super Econômico;Sinop;Limpeza
Isabel Melo;Thomas Nunes;24/11/2024;Refrigerante;November;15,95;159,5;10;Super Econômico;Sinop;Bebidas
Elisa Alves;Dra. Isadora da Luz;13/06/2024;Areia Higiênica;June;38,38;383,8;10;Mercado do Bairro;Tangará da Serra;Pet
Elisa Alves;Ana Sophia Viana;23/06/2024;Shampoo Pet;June;37,83;151,32;4;Super Econômico;Cuiabá;Pet
Dra. Lívia Gonçalves;Nina Almeida;18/03/2025;Sabão em Pó;March;37,83;226,98;6;Supermercado Central;Sinop;Limpeza
Dr. Vitor Gabriel Almeida;Sr. Matheus da Mata;27/04/2024;Detergente;April;6,31;44,17;7;Super Econômico;Rondonópolis;Limpeza
Davi Luiz Silveira;Dr. Davi Duarte;19/11/2024;Água Mineral;November;21,07;147,49;7;Atacadão Popular;Tangará da Serra;Bebidas
Ryan Azevedo;Agatha da Rosa;30/12/2024;Água Sanitária;December;49,69;347,83;7;Atacadão Popular;Várzea Grande;Limpeza
Luna das Neves;Evelyn Sales;20/08/2024;Macarrão;August;14,49;28,98;2;Mercado do Bairro;Cuiabá;Alimentos
Vitória Martins;Ana Sophia Viana;13/08/2024;Macarrão;August;11,86;35,58;3;Supermercado Central;Várzea Grande;Alimentos
Juliana Nunes;Raul Silveira;02/04/2025;Desodorante;April;14,03;70,15;5;Supermercado Central;Cuiabá;Higiene
Luna das Neves;Maria Clara da Rosa;18/10/2024;Areia Higiênica;October;26,99;80,97;3;Mercado do Bairro;Várzea Grande;Pet
Ana Clara Barros;João Vitor Rezende;27/10/2024;Vinho;October;6,53;32,65;5;Atacadão Popular;Rondonópolis;Bebidas
Samuel Nascimento;Felipe Cardoso;19/08/2024;Água Mineral;August;41,71;291,97;7;Atacadão Popular;Tangará da Serra;Bebidas
Bárbara Ribeiro;Fernanda Aragão;27/08/2024;Sabão em Pó;August;13,83;96,81;7;Mercado do Bairro;Rondonópolis;Limpeza
Dra. Clara da Paz;Theo Rezende;01/05/2024;Desodorante;May;20,87;208,7;10;Mercado do Bairro;Várzea Grande;Higiene
Ana Laura Pereira;Dr. Davi Duarte;25/12/2024;Detergente;December;3,3;6,6;2;Supermercado Central;Cuiabá;Limpeza
Dra. Lívia Gonçalves;Sabrina Pires;15/08/2024;Ração para Cães;August;35,61;213,66;6;Mercado do Bairro;Várzea Grande;Pet
Dra. Lívia Gonçalves;Paulo Martins;04/11/2024;Ração para Gatos;November;27,06;216,48;8;Mercado do Bairro;Várzea Grande;Pet
Elisa Alves;Clarice da Mata;18/03/2025;Água Mineral;March;45,69;91,38;2;Atacadão Popular;Cuiabá;Bebidas
Rafaela Cunha;Dr. Marcos Vinicius Vieira;02/05/2024;Shampoo;May;24,46;122,3;5;Atacadão Popular;Rondonópolis;Higiene
Ryan Azevedo;Fernanda Aragão;10/11/2024;Shampoo Pet;November;31,22;62,44;2;Super Econômico;Sinop;Pet
Isabel Melo;Igor Gonçalves;24/03/2025;Água Mineral;March;42,44;169,76;4;Mercado do Bairro;Rondonópolis;Bebidas
Ryan Azevedo;Benício Rodrigues;06/11/2024;Feijão;November;21,85;218,5;10;Super Econômico;Rondonópolis;Alimentos
Sr. Pietro Moraes;Gustavo Henrique Lima;07/03/2025;Ração para Cães;March;3,56;28,48;8;Supermercado Central;Rondonópolis;Pet
Davi Luiz Silveira;Nina Almeida;28/01/2025;Suco;January;6,55;45,85;7;Supermercado Central;Rondonópolis;Bebidas
Davi Luiz Silveira;Maria Cecília Cunha;15/09/2024;Ração para Cães;September;18,97;113,82;6;Atacadão Popular;Cuiabá;Pet
Davi Luiz Silveira;Pedro Henrique Ramos;31/10/2024;Arroz;October;23,61;70,83;3;Super Econômico;Cuiabá;Alimentos
Bárbara Ribeiro;Igor Gonçalves;18/06/2024;Esponja;June;44,87;134,61;3;Supermercado Central;Várzea Grande;Limpeza
João Lucas Correia;Marcos Vinicius Pereira;29/08/2024;Arroz;August;46,18;323,26;7;Supermercado Central;Sinop;Alimentos
Bárbara Ribeiro;Agatha da Rosa;23/09/2024;Esponja;September;29,29;29,29;1;Super Econômico;Tangará da Serra;Limpeza
Bárbara Ribeiro;Agatha da Rosa;31/10/2024;Água Mineral;October;37,11;371,1;10;Mercado do Bairro;Cuiabá;Bebidas
Milena Pires;Stephany Costela;12/08/2024;Feijão;August;42,12;42,12;1;Super Econômico;Tangará da Serra;Alimentos
Elisa Alves;Fernanda Aragão;18/12/2024;Desodorante;December;31,23;312,3;10;Atacadão Popular;Tangará da Serra;Higiene
Juliana Nunes;Evelyn Azevedo;19/09/2024;Refrigerante;September;28,75;143,75;5;Super Econômico;Cuiabá;Bebidas
Elisa Alves;Sr. Gustavo Mendes;30/01/2025;Feijão;January;8,09;48,54;6;Supermercado Central;Várzea Grande;Alimentos
Ana Clara Barros;Paulo Monteiro;03/11/2024;Água Sanitária;November;24,4;122,0;5;Super Econômico;Sinop;Limpeza
Dra. Clara da Paz;Beatriz Moraes;10/06/2024;Sabonete;June;47,96;431,64;9;Atacadão Popular;Rondonópolis;Higiene
Dra. Clara da Paz;Sra. Catarina Almeida;03/05/2024;Creme Dental;May;7,76;77,6;10;Supermercado Central;Tangará da Serra;Higiene
Bárbara Ribeiro;João Rocha;20/04/2025;Ração para Gatos;April;20,53;205,3;10;Super Econômico;Várzea Grande;Pet
Dra. Clara da Paz;Leonardo Duarte;27/07/2024;Creme Dental;July;41,48;373,32;9;Atacadão Popular;Cuiabá;Higiene
Dra. Clara da Paz;Ana Clara da Cunha;13/12/2024;Sabonete;December;26,53;159,18;6;Supermercado Central;Várzea Grande;Higiene
Ana Laura Pereira;Maria Clara da Rosa;05/02/2025;Sabonete;February;12,68;88,76;7;Mercado do Bairro;Várzea Grande;Higiene
João Vitor Moura;Arthur Viana;11/04/2025;Ração para Gatos;April;21,72;65,16;3;Supermercado Central;Tangará da Serra;Pet
Rafaela Cunha;Ana Laura Ramos;03/07/2024;Petisco;July;30,59;30,59;1;Mercado do Bairro;Várzea Grande;Pet
Milena Pires;Srta. Mariane Moraes;29/11/2024;Feijão;November;4,24;42,4;10;Super Econômico;Cuiabá;Alimentos
João Vitor Moura;Vitor Hugo Barbosa;05/01/2025;Sabonete;January;13,3;26,6;2;Supermercado Central;Rondonópolis;Higiene
Bárbara Ribeiro;Pedro Henrique Ramos;19/08/2024;Cerveja;August;44,14;308,98;7;Supermercado Central;Várzea Grande;Bebidas
